key,en,it,vi,
WELCOM,Welcome,Benvenuto,Xin chào,
PROFILE,Profile,Profilo,Hồ sơ,
FRIENDS,Friends,Amici,Bạn bè,
PLAY_NOW,Play Now,Gioca ora,Chơi ngay,
ROOMS,Rooms,Stanze,Phòng,
WAITING_FOR_OTHERS,Waiting for other players,In attesa degli altri giocatori,Đang chờ người chơi khác,
ENTER_USER_ID,Enter user ID,Inserisci ID utente,Nhập ID người dùng,
STORE,STORE,NEGOZIO,CỬA HÀNG,
SETTINGS,SETTINGS,IMPOSTAZIONI,CÀI ĐẶT,
CARD_STYLE,Card Style,Stile della carta,Phong cách thẻ,
LOGOUT,Logout,Esci,Đăng xuất,
MUSIC,Music,Musica,Âm nhạc,
SOUND,Sound,Suono,Âm thanh,
PLEASE_DESCRIBE_ISSUE,Please describe the issue you're facing,Descrivi il problema che stai affrontando,Vui lòng mô tả vấn đề bạn đang gặp phải,
CUSTOMER_SUPPORT,Customer Support,Assistenza clienti,Hỗ trợ khách hàng,
CREATE_TABLE,Create table,crea stanza,tạo bàn,
SEARCH_ROOM_ID,Search room by ID,Cerca stanza per ID,Tìm phòng theo ID,
ENTER_YOUR_MESSAGE,Enter your message,Inserisci il tuo messaggio,Nhập tin nhắn của bạn,
SEND,Send,Invia,Gửi,
TOTAL_MATCH,Total matches:,Partite totali:,Tổng trận đấu:,
WIN_RATE,Win rate:,Tasso di vittoria:,Tỷ lệ thắng:,
NOTIFICATION,Notification,Notifica,Thông báo,
YOU_ARE_DISCONNECTED,"You are disconnected, try connecting again","Sei disconnesso, prova a connetterti di nuovo","Bạn đã bị ngắt kết nối, hãy thử kết nối lại",
OK,Ok,Ok,Ok,
CANCEL,Cancel,Annulla,Hủy,
REQUESTS,Requests,Richieste,Yêu cầu,
NOT_ENOUGH_GOLD_PLAY_BUY,"Not enough Crystals to play, do you want to buy more?","Non hai abbastanza Cristalli per giocare, vuoi comprarne di più?","Không đủ Lira để chơi, bạn có muốn mua thêm không?",
FANTASTIC,Fantastic!,Fantastico!,Tuyệt vời!,
WELL_DONE,Well Done!,Ben fatto!,Làm tốt lắm!,
GREAT_JOB,Great Job!,Ottimo lavoro!,Giỏi lắm!,
